$Date;$Time;FH11_Z4_TEMP_SP;FH11_Z4_TEMP_PV;FH11_Z3_TEMP_PV;FH11_Z3_TEMP_MT;FH11_Z3_TEMP_MB;FH11_Z4_TEMP_MB;FH11_Z4_TEMP_MM;FH11_Z4_TEMP_MT;FH11_Z4_MIX_VLV_POS_PV;FH11_Z4_MIX_PRES_PV;FH11_Z4_MIX_PRES_LL;FH11_Z4_MIX_PRES_HL;FH11_PULL
04/23/18;09:58:21;1155;1154.919;1162.008;1162.008;1160.561;1155.498;1154.919;1154.919;23.40856;1.140046;0.6;6;55.42502
04/23/18;09:58:22;1155;1154.774;1162.008;1162.008;1160.561;1155.498;1154.919;1154.774;23.40856;1.128472;0.6;6;55.42502
04/23/18;09:58:23;1155;1154.774;1162.008;1162.008;1160.561;1155.353;1154.919;1154.774;23.40856;1.128472;0.6;6;55.42502
04/23/18;09:58:24;1155;1154.774;1162.008;1162.008;1160.706;1155.353;1154.919;1154.774;23.40856;1.128472;0.6;6;55.42502
04/23/18;09:58:25;1155;1154.774;1162.008;1162.008;1160.561;1155.353;1154.919;1154.774;23.40856;1.125579;0.6;6;55.42502
04/23/18;09:58:26;1155;1154.774;1162.008;1162.008;1160.561;1155.353;1154.919;1154.774;23.40856;1.145833;0.6;6;55.42502
04/23/18;09:58:27;1155;1154.774;1162.008;1162.008;1160.561;1155.498;1154.919;1154.774;23.40856;1.134259;0.6;6;55.42502
04/23/18;09:58:28;1155;1154.774;1162.008;1162.008;1160.561;1155.498;1154.919;1154.774;23.40856;1.128472;0.6;6;55.42502
04/23/18;09:58:29;1155;1154.774;1162.008;1162.008;1160.561;1155.353;1154.919;1154.774;23.40856;1.131366;0.6;6;55.42502
04/23/18;09:58:30;1155;1154.774;1162.008;1162.008;1160.561;1155.498;1154.919;1154.774;23.40856;1.134259;0.6;6;55.42502
04/23/18;09:58:31;1155;1154.774;1162.008;1162.008;1160.561;1155.498;1154.919;1154.774;23.40856;1.119792;0.6;6;55.42502
04/23/18;09:58:32;1155;1154.774;1162.008;1162.008;1160.561;1155.353;1154.919;1154.774;23.40856;1.134259;0.6;6;55.42502
04/23/18;09:58:33;1155;1154.774;1162.008;1162.008;1160.561;1155.353;1154.919;1154.774;23.40856;1.131366;0.6;6;55.42502
