$Date;$Time;FH11_Z2C_TEMP_SP;FH11_Z2C_TEMP_PV;FH11_Z1C_TEMP_PV;FH11_Z3_TEMP_PV;FH11_Z2_TEMP_LT;FH11_Z2_TEMP_RT;FH11_PULL;FH11_Z2L_MIX_VLV_POS_PV;FH11_Z2R_MIX_VLV_POS_PV;FH11_Z2L_MIX_PRES_PV;FH11_Z2R_MIX_PRES_PV;FH11_Z2_CLN_VLV_POS_PV;FH11_Z2_WG_DMP_POS_PV
08/17/17;10:35:41;1167;1165.48;1178.284;1159.259;1171.123;1170.689;46.01521;27.40162;18.05556;1.119792;0.9837962;17.41898;4.21627
08/17/17;10:35:42;1167;1165.336;1178.284;1159.259;1171.123;1170.689;46.01521;27.40162;18.05556;1.116898;0.9866898;17.41898;4.298942
08/17/17;10:35:43;1167;1165.48;1178.284;1159.259;1171.123;1170.689;46.01521;27.40162;18.05556;1.131366;0.9809028;17.41898;4.298942
08/17/17;10:35:44;1167;1165.48;1178.356;1159.115;1171.267;1170.689;46.01521;27.40162;18.05556;1.114005;0.9837962;17.41898;4.21627
08/17/17;10:35:45;1167;1165.48;1178.284;1159.259;1171.123;1170.689;46.01521;27.40162;18.05556;1.125579;0.9837962;17.41898;4.21627
08/17/17;10:35:46;1167;1165.48;1178.356;1159.259;1171.123;1170.833;46.01521;27.40162;18.05556;1.125579;0.9953703;17.41898;4.298942
08/17/17;10:35:47;1167;1165.48;1178.284;1159.115;1171.123;1170.689;46.01521;26.90972;18.05556;1.056134;0.9866898;17.41898;4.21627
08/17/17;10:35:48;1167;1165.48;1178.356;1159.115;1171.123;1170.689;46.01521;26.88079;18.05556;1.038773;0.9837962;17.41898;4.21627
08/17/17;10:35:49;1167;1165.48;1178.356;1159.115;1171.123;1170.689;46.01521;26.82292;18.05556;1.038773;0.9866898;17.41898;4.298942
08/17/17;10:35:50;1167;1165.336;1178.356;1159.115;1171.123;1170.689;46.01521;26.82292;18.05556;1.032986;0.9982638;17.41898;4.21627
08/17/17;10:35:51;1167;1165.48;1178.429;1159.115;1171.123;1170.689;46.01521;26.82292;18.05556;1.041667;0.9866898;17.41898;4.298942
08/17/17;10:35:52;1167;1165.48;1178.356;1159.115;1171.123;1170.689;46.01521;26.82292;18.05556;1.032986;0.9809028;17.41898;4.21627
