$Date;$Time;FH11_Z4_TEMP_SP;FH11_Z4_TEMP_PV;FH11_Z3_TEMP_PV;FH11_Z3_TEMP_MT;FH11_Z3_TEMP_MB;FH11_Z4_TEMP_MB;FH11_Z4_TEMP_MM;FH11_Z4_TEMP_MT;FH11_Z4_MIX_VLV_POS_PV;FH11_Z4_MIX_PRES_PV;FH11_Z4_MIX_PRES_LL;FH11_Z4_MIX_PRES_HL;FH11_PULL;FU_PULL
08/17/17;10:36:34;1157;1156.366;1158.825;1158.825;1162.587;1161.719;1159.838;1156.366;24.16088;1.753472;0.6;6;46.01521;90.89281
08/17/17;10:36:35;1157;1156.366;1158.825;1158.825;1162.587;1161.719;1159.838;1156.366;24.16088;1.756366;0.6;6;46.01521;90.89281
08/17/17;10:36:36;1157;1156.366;1158.825;1158.825;1162.587;1161.719;1159.838;1156.366;24.16088;1.741898;0.6;6;46.01521;90.89281
08/17/17;10:36:37;1157;1156.366;1158.825;1158.825;1162.587;1161.719;1159.693;1156.366;24.16088;1.739005;0.6;6;46.01521;90.89281
08/17/17;10:36:38;1157;1156.655;1158.825;1158.825;1162.587;1161.719;1159.693;1156.655;24.16088;1.733217;0.6;6;46.01521;90.89281
08/17/17;10:36:39;1157;1156.655;1158.825;1158.825;1162.442;1161.429;1159.693;1156.655;24.16088;1.753472;0.6;6;46.01521;90.89281
08/17/17;10:36:40;1157;1156.655;1158.825;1158.825;1162.587;1161.429;1159.693;1156.655;24.16088;1.741898;0.6;6;46.01521;90.89281
08/17/17;10:36:41;1157;1156.655;1158.825;1158.825;1162.442;1161.429;1159.693;1156.655;23.78472;1.66956;0.6;6;46.01521;90.89281
08/17/17;10:36:42;1157;1156.366;1158.825;1158.825;1162.442;1161.719;1159.693;1156.366;23.61111;1.617477;0.6;6;46.01521;90.89281
08/17/17;10:36:43;1157;1156.366;1158.825;1158.825;1162.442;1161.429;1159.693;1156.366;23.61111;1.626157;0.6;6;46.01521;90.89281
08/17/17;10:36:44;1157;1156.655;1158.825;1158.825;1162.442;1161.429;1159.693;1156.655;23.61111;1.626157;0.6;6;46.01521;90.89281
08/17/17;10:36:45;1157;1156.655;1158.536;1158.536;1162.442;1161.429;1159.693;1156.655;23.64005;1.61169;0.6;6;46.01521;90.89281
08/17/17;10:36:46;1157;1156.655;1158.825;1158.825;1162.442;1161.429;1159.693;1156.655;23.64005;1.634838;0.6;6;46.01521;90.89281
08/17/17;10:36:47;1157;1156.655;1158.536;1158.536;1162.442;1161.429;1159.693;1156.655;23.64005;1.62037;0.6;6;46.01521;90.89281
08/17/17;10:36:48;1157;1156.655;1158.825;1158.825;1162.442;1161.429;1159.549;1156.655;23.64005;1.62037;0.6;6;46.01521;90.89281
08/17/17;10:36:49;1157;1156.655;1158.536;1158.536;1162.442;1161.429;1159.549;1156.655;23.64005;1.631944;0.6;6;46.01521;90.89281
08/17/17;10:36:50;1157;1156.655;1158.536;1158.536;1162.442;1161.429;1159.549;1156.655;23.64005;1.603009;0.6;6;46.01521;90.89281
08/17/17;10:36:51;1157;1156.655;1158.536;1158.536;1162.442;1161.429;1159.549;1156.655;23.64005;1.617477;0.6;6;46.01521;90.89281
08/17/17;10:36:52;1157;1156.655;1158.536;1158.536;1162.442;1161.429;1159.549;1156.655;23.64005;1.62037;0.6;6;46.01521;90.89281
08/17/17;10:36:53;1157;1156.655;1158.536;1158.536;1162.442;1161.285;1159.549;1156.655;23.64005;1.626157;0.6;6;46.01521;90.89281
08/17/17;10:36:54;1157;1156.655;1158.536;1158.536;1162.442;1161.285;1159.549;1156.655;23.64005;1.617477;0.6;6;46.01521;90.89281
