$Date;$Time;FH11_Z1_TEMP_SP;FH11_Z1_TEMP_PV;WE_ZR_TEMP_PV;FH11_Z2C_TEMP_PV;FH11_Z1_MIX_PRES_PV;FH11_Z1_MIX_VLV_POS_PV;FH11_PULL;FH11_Z1A_CD_POS_PV;FH11_Z1BL_CD_POS_PV;FH11_Z1BR_CD_POS_PV
08/17/17;11:27:07;1176;1176.657;1269.213;1165.48;1.710069;33.53588;46.01521;41.29051;85.53241;14.00463
08/17/17;11:27:08;1176;1176.657;1269.213;1165.48;1.684028;32.84143;46.01521;41.26158;85.53241;14.00463
08/17/17;11:27:09;1176;1176.657;1269.213;1165.625;1.66956;32.84143;46.01521;41.26158;85.53241;14.00463
08/17/17;11:27:10;1176;1176.657;1269.213;1165.48;1.605903;32.29166;46.01521;41.26158;85.53241;14.00463
08/17/17;11:27:11;1176;1176.657;1269.068;1165.48;1.597222;32.29166;46.01521;41.29051;85.53241;14.00463
08/17/17;11:27:12;1176;1176.657;1269.068;1165.48;1.608796;32.29166;46.01521;41.29051;85.53241;14.00463
08/17/17;11:27:13;1176;1176.657;1269.213;1165.625;1.597222;32.29166;46.01521;41.34838;85.53241;14.00463
08/17/17;11:27:14;1176;1176.657;1269.213;1165.48;1.597222;32.29166;46.01521;41.26158;85.53241;14.00463
08/17/17;11:27:15;1176;1176.657;1269.213;1165.625;1.597222;32.29166;46.01521;41.29051;85.53241;14.00463
08/17/17;11:27:16;1176;1176.801;1269.502;1165.48;1.594329;32.29166;46.01521;41.29051;85.53241;14.00463
08/17/17;11:27:17;1176;1176.837;1269.213;1165.48;1.603009;32.29166;46.01521;41.26158;85.53241;14.00463
08/17/17;11:27:18;1176;1176.837;1269.213;1165.48;1.594329;32.29166;46.01521;41.29051;85.53241;14.00463
08/17/17;11:27:19;1176;1176.837;1269.068;1165.48;1.605903;32.29166;46.01521;41.29051;85.53241;14.00463
08/17/17;11:27:20;1176;1176.837;1269.213;1165.48;1.449653;31.22106;46.01521;42.15857;85.53241;14.00463
08/17/17;11:27:21;1176;1176.837;1269.213;1165.625;1.461227;31.22106;46.01521;42.21644;85.53241;14.00463
08/17/17;11:27:22;1176;1176.837;1269.213;1165.625;1.449653;31.22106;46.01521;42.15857;85.53241;14.00463
