$Date;$Time;FH11_Z3_TEMP_SP;FH11_Z3_TEMP_PV;FH11_Z2C_TEMP_PV;FH11_Z4_TEMP_PV;FH11_Z3_WG_DMP_POS_PV;FH11_Z3_CLN_VLV_POS_PV;FH11_Z3_MIX_VLV_POS_PV;FH11_Z3_MIX_PRES_PV;FH11_Z4_MIX_PRES_LL;FH11_Z4_MIX_PRES_HL;FH11_PULL
08/17/17;10:36:43;1162;1158.825;1165.48;1156.366;11.73942;14.23611;23.20602;0.7407407;0.6;6;46.01521
08/17/17;10:36:44;1162;1158.825;1165.48;1156.655;11.73942;14.23611;23.20602;0.7349537;0.6;6;46.01521
08/17/17;10:36:45;1162;1158.536;1165.48;1156.655;11.73942;14.03356;23.20602;0.7378472;0.6;6;46.01521
08/17/17;10:36:46;1162;1158.825;1165.625;1156.655;11.73942;14.03356;23.20602;0.7291667;0.6;6;46.01521
08/17/17;10:36:47;1162;1158.536;1165.625;1156.655;10.00331;13.5706;23.20602;0.7407407;0.6;6;46.01521
08/17/17;10:36:48;1162;1158.825;1165.625;1156.655;6.200397;12.35532;23.20602;0.7407407;0.6;6;46.01521
08/17/17;10:36:49;1162;1158.536;1165.625;1156.655;6.200397;11.74768;23.20602;0.7407407;0.6;6;46.01521
08/17/17;10:36:50;1162;1158.536;1165.625;1156.655;6.200397;11.71875;23.20602;0.7407407;0.6;6;46.01521
08/17/17;10:36:51;1162;1158.536;1165.48;1156.655;6.200397;11.05324;23.20602;0.7349537;0.6;6;46.01521
08/17/17;10:36:52;1162;1158.536;1165.48;1156.655;6.200397;11.05324;23.20602;0.7378472;0.6;6;46.01521
08/17/17;10:36:53;1162;1158.536;1165.625;1156.655;6.200397;11.05324;23.20602;0.7349537;0.6;6;46.01521
08/17/17;10:36:54;1162;1158.536;1165.48;1156.655;6.200397;11.05324;23.20602;0.7349537;0.6;6;46.01521
08/17/17;10:36:55;1162;1158.536;1165.48;1156.8;6.200397;10.70602;23.20602;0.7262731;0.6;6;46.01521
08/17/17;10:36:56;1162;1158.536;1165.48;1156.655;6.200397;10.70602;23.20602;0.7378472;0.6;6;46.01521
08/17/17;10:36:57;1162;1158.536;1165.48;1156.8;6.200397;10.70602;23.20602;0.7378472;0.6;6;46.01521
08/17/17;10:36:58;1162;1158.536;1165.48;1156.655;6.200397;10.70602;23.20602;0.7378472;0.6;6;46.01521
08/17/17;10:36:59;1162;1158.391;1165.48;1156.655;6.200397;10.4456;23.20602;0.7407407;0.6;6;46.01521
08/17/17;10:37:00;1162;1158.391;1165.48;1156.655;6.200397;10.4456;23.20602;0.7349537;0.6;6;46.01521
08/17/17;10:37:01;1162;1158.391;1165.48;1156.655;6.200397;10.4456;23.20602;0.7349537;0.6;6;46.01521
08/17/17;10:37:02;1162;1158.536;1165.48;1156.655;4.050926;9.43287;23.20602;0.7378472;0.6;6;46.01521
08/17/17;10:37:03;1162;1158.391;1165.48;1156.655;5.787036;9.43287;23.20602;0.7349537;0.6;6;46.01521
08/17/17;10:37:04;1162;1158.536;1165.48;1156.8;5.952381;9.43287;23.20602;0.7378472;0.6;6;46.01521
08/17/17;10:37:05;1162;1158.391;1165.336;1156.655;3.885582;8.738425;23.20602;0.7349537;0.6;6;46.01521
08/17/17;10:37:06;1162;1158.391;1165.48;1156.655;3.38955;8.738425;23.20602;0.7378472;0.6;6;46.01521
08/17/17;10:37:07;1162;1158.391;1165.48;1156.655;3.472222;8.564815;23.20602;0.7349537;0.6;6;46.01521
08/17/17;10:37:08;1162;1158.391;1165.48;1156.8;3.38955;8.564815;23.20602;0.7349537;0.6;6;46.01521
08/17/17;10:37:09;1162;1158.391;1165.48;1156.8;3.472222;8.535879;23.20602;0.7378472;0.6;6;46.01521
08/17/17;10:37:10;1162;1158.391;1165.336;1156.655;3.472222;8.564815;23.20602;0.7378472;0.6;6;46.01521
08/17/17;10:37:11;1162;1158.391;1165.336;1156.8;3.38955;8.217592;23.20602;0.7378472;0.6;6;46.01521
08/17/17;10:37:12;1162;1158.391;1165.48;1156.655;3.38955;8.217592;23.20602;0.7407407;0.6;6;46.01521
08/17/17;10:37:13;1162;1158.391;1165.48;1156.8;3.472222;8.217592;23.20602;0.7349537;0.6;6;46.01521
08/17/17;10:37:14;1162;1158.391;1165.48;1156.8;3.38955;8.217592;23.20602;0.7407407;0.6;6;46.01521
08/17/17;10:37:15;1162;1158.391;1165.336;1156.655;3.472222;8.217592;23.20602;0.7349537;0.6;6;46.01521
08/17/17;10:37:16;1162;1158.391;1165.48;1156.655;3.472222;8.217592;23.20602;0.7407407;0.6;6;46.01521
08/17/17;10:37:17;1162;1158.391;1165.48;1156.655;3.472222;7.841435;23.20602;0.7378472;0.6;6;46.01521
08/17/17;10:37:18;1162;1158.391;1165.48;1156.8;3.38955;7.8125;23.20602;0.7378472;0.6;6;46.01521
