nr;FH11_PULL
547;55.425020
548;55.425020
549;55.425020
550;55.425020
551;55.425020
552;55.425020
553;55.425020
554;55.425020
555;55.425020
556;55.425020
557;55.425020
558;55.425020
559;55.425020
560;55.425020
561;55.425020
562;55.425020
563;55.425020
564;55.425020
565;55.425020
566;55.425020
567;55.425020
568;55.425020
569;55.425020
570;55.425020
571;55.425020
572;55.425020
573;55.425020
574;55.425020
575;55.425020
576;55.425020
577;55.425020
578;55.425020
579;55.425020
580;55.425020
581;55.425020
582;55.425020
583;55.425020
584;55.425020
585;55.425020
586;55.425020
587;55.425020
588;55.425020
589;55.425020
590;55.425020
591;55.425020
592;55.425020
593;55.425020
594;55.425020
595;55.425020
596;55.425020
597;55.425020
598;55.425020
599;55.425020
600;55.425020
601;55.425020
602;55.425020
603;55.425020
604;55.425020
605;55.425020
606;55.425020
607;55.425020
608;55.425020
609;55.425020
610;55.425020
611;55.425020
612;55.425020
613;55.425020
614;55.425020
615;55.425020
616;55.425020
617;55.425020
618;55.425020
619;55.425020
620;55.425020
621;55.425020
622;55.425020
623;55.425020
624;55.425020
625;55.425020
626;55.425020
627;55.425020
628;55.425020
629;55.425020
630;55.425020
631;55.425020
632;55.425020
633;55.425020
634;55.425020
635;55.425020
636;55.425020
637;55.425020
638;55.425020
639;55.425020
640;55.425020
641;55.425020
642;55.425020
643;55.425020
644;55.425020
645;55.425020
646;55.425020
647;55.425020
648;55.425020
649;55.425020
650;55.425020
651;55.425020
652;55.425020
653;55.425020
654;55.425020
655;55.425020
656;55.425020
657;55.425020
658;55.425020
659;55.425020
660;55.425020
661;55.425020
662;55.425020
663;55.425020
664;55.425020
665;55.425020
666;55.425020
667;55.425020
668;55.425020
669;55.425020
670;55.425020
671;55.425020
672;55.425020
673;55.425020
674;55.425020
675;55.425020
676;55.425020
677;55.425020
678;55.425020
679;55.425020
680;55.425020
681;55.425020
682;55.425020
683;55.425020
684;55.425020
685;55.425020
686;55.425020
687;55.425020
688;55.425020
689;55.425020
690;55.425020
691;55.425020
692;55.425020
693;55.425020
694;55.425020
695;55.425020
696;55.425020
697;55.425020
698;55.425020
699;55.425020
700;55.425020
701;55.425020
702;55.425020
703;55.425020
704;55.425020
705;55.425020
706;55.425020
707;55.425020
708;55.425020
709;55.425020
710;55.425020
711;55.425020
