$Date;$Time;FH11_Z3_TEMP_SP;FH11_Z3_TEMP_PV;FH11_Z2C_TEMP_PV;FH11_Z4_TEMP_PV;FH11_Z3_MIX_VLV_POS_PV;FH11_Z3_MIX_PRES_PV;FH11_PULL
05/04/18;11:31:32;1184;1184.144;1185.735;1180.237;29.7743;1.34838;44.98286
05/04/18;11:31:33;1184;1184.144;1185.735;1180.237;29.7743;1.371528;44.98286
05/04/18;11:31:34;1184;1184.144;1185.735;1180.237;29.7743;1.374421;44.98286
05/04/18;11:31:35;1184;1184.144;1185.735;1180.237;29.7743;1.351273;44.98286
05/04/18;11:31:36;1184;1184.144;1185.735;1180.237;29.7743;1.351273;44.98286
05/04/18;11:31:37;1184;1184.144;1185.735;1180.237;29.7743;1.371528;44.98286
05/04/18;11:31:38;1184;1184.144;1185.735;1180.237;29.7743;1.34838;44.98286
05/04/18;11:31:39;1184;1184.144;1185.735;1180.237;29.7743;1.365741;44.98286
05/04/18;11:31:40;1184;1184.144;1185.735;1180.237;29.7743;1.377315;44.98286
05/04/18;11:31:41;1184;1184.144;1185.735;1180.237;29.7743;1.345486;44.98286
05/04/18;11:31:42;1184;1184.144;1185.735;1180.237;29.7743;1.380208;44.98286
05/04/18;11:31:43;1184;1184.144;1185.735;1180.237;29.7743;1.371528;44.98286
05/04/18;11:31:44;1184;1184.144;1185.735;1180.237;29.7743;1.35706;44.98286
05/04/18;11:31:45;1184;1184.144;1185.735;1180.237;29.7743;1.377315;44.98286
05/04/18;11:31:46;1184;1184.144;1185.735;1180.237;29.7743;1.377315;44.98286
05/04/18;11:31:47;1184;1184.144;1185.735;1180.237;29.7743;1.351273;44.98286
05/04/18;11:31:48;1184;1184.144;1185.735;1180.237;29.7743;1.371528;44.98286
05/04/18;11:31:49;1184;1184.144;1185.735;1180.237;29.7743;1.351273;44.98286
05/04/18;11:31:50;1184;1184.144;1185.735;1180.093;29.7743;1.374421;44.98286
05/04/18;11:31:51;1184;1184.144;1185.735;1180.237;29.7743;1.377315;44.98286
05/04/18;11:31:52;1184;1184.144;1185.735;1180.237;29.7743;1.359954;44.98286
05/04/18;11:31:53;1184;1184.144;1185.735;1180.093;29.7743;1.365741;44.98286
05/04/18;11:31:54;1184;1184.144;1185.735;1180.237;29.7743;1.362847;44.98286
05/04/18;11:31:55;1184;1184.144;1185.735;1180.237;29.7743;1.34838;44.98286
05/04/18;11:31:56;1184;1184.144;1185.735;1180.237;29.7743;1.359954;44.98286
